UserId	Item	ItemType	Variety	ForeQty	ForeMonth	UnderKPK	UOM
rajsingh1158	Fertilizer	Urea	IFFCO	8	November	kpk1158	bags
dharam1020	Seed	Mustard	MS2	0.05	September	kpk1020	Qntls
raven1137	Seed	Wheat	"3,432,425"	1	October	kpk1137	qntls
suraj1091	Agrochemicals	Indophil	Null	10	November	kpk1091	kgs
suresh1152	Seed	Wheat	"2329,"	1.2	October	kpk1152	Qntls
gopal1599	Seed	Tomato	7711 Avtar	0.003	February	kpk1599	Qntls
ashok1316	Seed	wheat	Null	6	August	kpk1316	bags
jwahar1155	Seed	Wheat	2329	10	November	kpk1155	bags
radhacharan1173	Seed	wheat	373/2329	5	October	kpk1173	bags
bhagvat1751	Seed	Paddy	Vasmati	0.3	June	KPK1751	Qntls
omprakash21158	Fertilizer	DAP	IFFCO	15	October	KPK1158	bags
madan1158	Seed	Sorghum	Purvi	0.2	May	KPK1158	Qntls
shivp1523	Seed	1010	Manisha	2	June		bags
budha1353	Seed	wheat	Null	0.2	November	KPK1353	Qntls
babulal-019	Seed	urad	tau	0.04	July	kpk1539	Qntls
nazarsing-0111	Seed	Soyabean	js-335	1.2	July	kpk1541	Qntls
PMeena1470	Seed	Soyabean	J.S./P.K.	0.12	June	KPK1470	Qntls
brajmohan1099	Fertilizer	DAP	IFFCO	2	November	kpk1099	bags
GOPI1465	Seed	Urad	Null	0.1	September	KPK1465	Qntls
manojkausal	Fertilizer	DAP	IFFCO	2	October	kpk1242	bags
radha1470	Fertilizer	Urea	Sardar	50	November	kpk1470	bags
LAXMI	Seed	WHEAT	Null	0.6	September	KPK1317	Qntls
harpal1154	Seed	Paddy	Null	2	June		bags
GOPI	Seed	WHEAT	Null	1	November	KPK1289	Qntls
karingh1007	Seed	Paddy	Muchad	0.4	June	kpk1007	Qntls
ramkaranFarmer	Fertilizer	Urea	Null	2	June	KPK1316	bags
damodarsha124	Fertilizer	DAP	IFFCO	9	October	KPK1242	bags
rajendar1166	Seed	Barley	Laxmi	1	April	kpk1166	Qntls
mahesh	Seed	Pigeon pea	Null	0.1	April	kpk0975	Qntls
rameshwar1555	Fertilizer	Urea	Null	6	June	KPK1555	bags
lekhraj1099	Seed	Pearl Millet	Null	0.15	June	kpk1099	Qntls
mote1356	Seed	Pearl Millet	Null	2	July	KPK1356	bags
ratangh1159	Seed	Wheat	PBW-343	3	November	kpk1159	Qntls
gopal1261	Seed	Phorate	Null	10	Select	kpk1261	bags
pann1159	Fertilizer	Urea	IFFCO	40	November	kpk1159	bags
chat1373	Seed	Soyabean	g.s.335	1.5	June	KPK1373	Qntls
vinay1093	Fertilizer	DAP	IFFCO	15	November	kpk1093	bags
arjun1077	Fertilizer	Urea	Null	15	May	kpk1077	bags
sd1331	Seed	Mustard	"paio., karshna"	10	September	kpk1331	bags
Gulab1300	Fertilizer	Urea	Null	8	August	kpk1300	bags
Chagen1283	Seed	Pearl Millet	Null	0.015	Select	kpk1283	Qntls
pappu0995	Fertilizer	DAP	IFFCO	9	November	kpk0995	bags
dlalr1311	Seed	Mustard	Null	2	October	kpk1311	bags
gmo1311	Seed	Groundnut	hybird	0.2	June	kpk1311	Qntls
Pukal 1301	Fertilizer	Urea	Null	0	August	kpk1301	bags
ramesh1301	Seed	wheat	Null	40	September	kpk1301	bags
phoold1260	Others	Null	Null	0	NULL	kpk1260	NULL
ramesver1305	Seed	Pearl Millet	Null	4	Select	kpk1305	bags
mohanlalg1299	Fertilizer	DAP	Null	6	September	kpk1299	bags
premraj1299	Seed	Mustard	kala Sona	0.15	September	kpk1299	Qntls
kanhaiyas1260	Seed	Wheat	"1482, 3077"	2	November	kpk1260	bags
rambhjan1299	Seed	Wheat	Null	0.8	October	kpk1299	Qntls
rambhjan1299	Seed	Wheat	Shri Ram	8	January	kpk1299	bags
surajmal1299	Fertilizer	DAP	Null	6	September	kpk1299	bags
Kajodmal1305	Seed	Pearl Millet	Null	2	October	KPK1305	bags
sunil1301	Fertilizer	DAP	Null	2	September	kpk1301	bags
sunil1301	Fertilizer	Urea	Null	2	August	kpk1301	bags
Mull1299	Fertilizer	Urea	Null	8	August	kpk1299	bags
jagdish1305	Fertilizer	Urea	Null	35	September	kpk1305	bags
Ramkisana1305	Seed	wheat	Null	4	September	kpk1305	bags
Bhutachand1305	Seed	wheat	Null	6	September	kpk1305	bags
ram1305	Seed	wheat	Null	3	Select	kpk1305	bags
ram1305	Seed	Black Gram	Null	0	NULL	kpk1305	NULL
kpk1021rajendr	Seed	Pearl Millet	Pineer	0.05	June	KPK1021	Qntls
prahlady1305	Fertilizer	Urea	IFFCO	10	August	kpk1305	bags
Khalire1299	Fertilizer	Urea	Null	6	August	kpk1299	bags
Motilal1305	Fertilizer	DAP	Null	6	August	kpk1305	bags
kishorrk1301	Fertilizer	Urea	Null	1	August	kpk1301	bags
Shankarlal1305	Seed	Mustard	Null	13	August	kpk1305	bags
ramnk1301	Fertilizer	Urea	Null	2	August	kpk1301	bags
omp1299	Fertilizer	DAP	Null	8	September	kpk1299	bags
Ramkishorrav1305	Seed	Mustard	Null	5	August	kpk1305	bags
chothm1301	Fertilizer	DAP	Null	2	September	kpk1301	bags
kpk1021rajkumar	Seed	Wheat	343	1	November	KPK1021	qntls
Ramkaranbairava1305	Seed	wheat	Null	5	September	kpk1305	bags
Kanwar pal1299	Seed	wheat	Null	1	Select	kpk1299	Qntls
kamalch1301	Fertilizer	DAP	Null	2	September	kpk1301	bags
budhm1292	Fertilizer	Urea	Null	5	August	kpk1292	bags
hanuman1299	Fertilizer	DAP	IFFCO	16	September	kpk1299	bags
prabhu1299	Fertilizer	Urea	IFFCO	8	August	kpk1299	bags
karana 1299	Seed	Mustard	Null	0.2	September	kpk1299	Qntls
rajaram1299	Seed	Pearl Millet	Null	4	June	kpk1299	bags
prasadg1292	Fertilizer	DAP	Null	3	September	kpk1292	bags
kajl1292	Fertilizer	potash	Null	5	Select	kpk1292	bags
MathuraLal1292	Fertilizer	potash	Null	3	Select	kpk1292	bags
garlalg1292	Fertilizer	DAP	Null	4	September	kpk1292	bags
rkarangur1292	Fertilizer	DAP	Null	4	September	kpk1292	bags
mgurjar1292	Fertilizer	DAP	Null	2	September	kpk1292	bags
hansrajm1299	Seed	Wheat	Null	0.8	September	kpk1301	Qntls
mdbabu1260	Seed	Wheat	"1482, 3077"	1	November	kpk1260	bags
kajodgur1299	Seed	Wheat	1482	0.8	October	kpk1299	Qntls
Ramniwasyadav1305	Fertilizer	Urea	Uttam	20	August	KPK1305	bags
Sitadevia1305	Seed	Black Gram	Null	2	October	KPK1305	bags
rambhjan1299	Seed	Mustard	Null	0.3	September	kpk1299	Qntls
ghansd1260	Fertilizer	DAP	Null	13	August	kpk1260	bags
surajmal1299	Seed	Wheat	Shri Ram	6	January	kpk1299	bags
laxmi1305	Seed	wheat	Null	0	NULL	kpk1305	NULL
harni1299	Seed	Mustard	Null	0.2	September	kpk1299	Qntls
denshyam1305	Fertilizer	DAP	IFFCO	3	September	kpk1305	bags
ramhari1299	Fertilizer	DAP	Null	10	September	kpk1299	bags
ramhari1299	Seed	Wheat	Null	2	November	kpk1299	bags
Bajen1299	Fertilizer	DAP	Null	4	September	kpk1299	bags
Papu1299	Fertilizer	DAP	Null	6	September	kpk1299	bags
Papu1299	Fertilizer	Urea	Null	6	August	kpk1299	bags
sarup1299	Seed	Wheat	Null	0.8	Select	kpk1299	Qntls
bgopi1299	Fertilizer	DAP	Null	6	September	kpk1299	bags
Raweru1299	Fertilizer	DAP	Null	8	September	kpk1299	bags
badrilal1305	Fertilizer	DAP	IFFCO	7	September	kpk1305	bags
Gopilal1305	Fertilizer	parathin	Null	5	September	kpk1305	bags
